,pct_on_object,concentration_ratio,avg_ratio,grad_pct_on_object,grad_concentration_ratio,grad_avg_ratio
count,19.0,19.0,19.0,19.0,19.0,19.0
mean,36.01132813252901,1.3650018635549044,1.4367823632139909,42.2964499373185,2.034782218305688,2.435584692578567
std,21.921010339877423,1.0872854677762274,1.2044267136722793,21.592295739843788,2.8572421458704653,3.5470106935988097
min,2.0850913524627686,0.5550134181976318,0.5132701396942139,3.337327480316162,0.5191712975502014,0.4589208960533142
25%,19.51032829284668,0.9958610534667969,0.9630654156208038,29.0445556640625,0.9705875217914581,0.9303631782531738
50%,36.6402473449707,1.0601441860198975,1.0949153900146484,44.80217742919922,1.3994791507720947,1.8767468929290771
75%,42.85482406616211,1.2084401845932007,1.3533737659454346,54.08652687072754,1.7006069421768188,2.1057636737823486
max,82.83011627197266,5.532413005828857,5.933133125305176,83.69091033935547,13.584097862243652,16.720165252685547
