pct_on_object,concentration_ratio,avg_ratio,pct_area,num_object_patches,num_total_patches,image,grad_pct_on_object,grad_concentration_ratio,grad_avg_ratio,grad_pct_area,grad_num_object_patches,grad_num_total_patches
53.31637191772461,2.509812355041504,4.2340989112854,21.2431697845459,622.0,2928,fruit,36.47319793701172,1.7169376611709595,2.128558874130249,21.2431697845459,622.0,2928
51.20839309692383,1.2948029041290283,1.604198932647705,39.54917907714844,1158.0,2928,liberty,34.685977935791016,0.877034068107605,0.811731219291687,39.54917907714844,1158.0,2928
11.137720108032227,0.5192873477935791,0.45903488993644714,21.448087692260742,628.0,2928,lennon,11.135231018066406,0.5191712975502014,0.4589208960533142,21.448087692260742,628.0,2928
21.847288131713867,2.7454445362091064,3.233358860015869,7.957650184631348,233.0,2928,mask,23.403133392333984,2.94096040725708,3.53399395942688,7.957650184631348,233.0,2928
31.1192569732666,21.190044403076172,30.31135368347168,1.4685791730880737,43.0,2928,macbook,19.949323654174805,13.584097862243652,16.720165252685547,1.4685791730880737,43.0,2928
45.27450942993164,1.4995900392532349,1.9128884077072144,30.19125747680664,884.0,2928,fire,44.80217742919922,1.483945369720459,1.8767468929290771,30.19125747680664,884.0,2928
39.25046157836914,6.113050937652588,9.41651725769043,6.420764923095703,188.0,2928,liberty2,16.23165512084961,2.52799391746521,2.824070453643799,6.420764923095703,188.0,2928
38.248497009277344,0.679973304271698,0.48174935579299927,56.25,1647.0,2928,sand,52.72920227050781,0.9374080300331116,0.8675884008407593,56.25,1647.0,2928
88.49600219726562,1.0533182621002197,1.4634678363800049,84.01639556884766,2460.0,2928,penguin,83.69091033935547,0.9961259365081787,0.9762458801269531,84.01639556884766,2460.0,2928
40.779598236083984,1.3208259344100952,1.5417386293411255,30.874317169189453,904.0,2928,child_newspaper,45.80885696411133,1.4837205410003662,1.8926188945770264,30.874317169189453,904.0,2928
52.81529998779297,2.0869526863098145,3.3035905361175537,25.3073787689209,741.0,2928,zebra,46.03075408935547,1.8188669681549072,2.5172841548919678,25.3073787689209,741.0,2928
44.275691986083984,1.281067132949829,1.504384160041809,34.56156921386719,741.0,2144,iena,41.79372024536133,1.2092541456222534,1.3595045804977417,34.56156921386719,741.0,2144
48.48456573486328,2.2181689739227295,3.364647626876831,21.85792350769043,640.0,2928,boat,36.814781188964844,1.6842762231826782,2.0829684734344482,21.85792350769043,640.0,2928
74.80341339111328,1.3663406372070312,2.4539077281951904,54.74726486206055,1603.0,2928,lighthouse,61.61199951171875,1.125389575958252,1.3266370296478271,54.74726486206055,1603.0,2928
87.84443664550781,1.1276130676269531,2.0498154163360596,77.90299987792969,2281.0,2928,childfire,81.7764892578125,1.0497219562530518,1.2728443145751953,77.90299987792969,2281.0,2928
55.2830924987793,0.9231071472167969,0.8280425071716309,59.888057708740234,1284.0,2144,train,56.5971565246582,0.9450491070747375,0.873393177986145,59.888057708740234,1284.0,2144
78.88807678222656,1.9912437200546265,5.695084095001221,39.617488861083984,1160.0,2928,hat,55.443851470947266,1.3994791507720947,1.8965752124786377,39.617488861083984,1160.0,2928
60.53988265991211,1.7378506660461426,2.869843006134033,34.83606719970703,1020.0,2928,pirate,51.316802978515625,1.4730939865112305,1.9717810153961182,34.83606719970703,1020.0,2928
2.5100886821746826,0.6681399941444397,0.6595922112464905,3.7568304538726807,110.0,2928,zuck,3.337327480316162,0.8883359432220459,0.8844804763793945,3.7568304538726807,110.0,2928
