,pct_on_object,concentration_ratio,avg_ratio,grad_pct_on_object,grad_concentration_ratio,grad_avg_ratio
count,19.0,19.0,19.0,19.0,19.0,19.0
mean,48.74329721300226,2.754033371021873,4.07301652902051,42.2964499373185,2.034782218305688,2.435584692578567
std,23.338021676230625,4.630604470922054,6.701315298996432,21.592295739843788,2.8572421458704653,3.5470106935988097
min,2.5100886821746826,0.5192873477935791,0.45903488993644714,3.337327480316162,0.5191712975502014,0.4589208960533142
25%,38.74947929382324,1.0904656648635864,1.483925998210907,29.0445556640625,0.9705875217914581,0.9303631782531738
50%,48.48456573486328,1.3663406372070312,2.0498154163360596,44.80217742919922,1.3994791507720947,1.8767468929290771
75%,57.9114875793457,2.152560830116272,3.3341190814971924,54.08652687072754,1.7006069421768188,2.1057636737823486
max,88.49600219726562,21.190044403076172,30.31135368347168,83.69091033935547,13.584097862243652,16.720165252685547
