layer,head,value
8,26,0.10888672
8,27,0.13964844
8,28,0.12792969
8,29,0.08886719
8,30,0.07519531
8,31,0.09423828
9,0,0.049804688
9,1,0.10546875
9,2,0.21972656
9,3,0.14941406
9,4,0.453125
9,5,0.55078125
9,6,0.29101562
9,7,0.546875
9,8,0.30273438
9,9,0.16894531
9,10,0.09765625
9,11,0.057373047
9,12,0.45117188
9,13,0.42578125
9,14,0.48046875
9,15,0.26757812
9,16,0.18359375
9,17,0.21386719
9,18,0.19433594
9,19,0.20996094
9,20,0.765625
9,21,0.41015625
9,22,0.5625
9,23,0.328125
9,24,0.079589844
9,25,0.3125
9,26,0.2265625
9,27,0.36132812
9,28,0.53125
9,29,0.18164062
9,30,0.16992188
9,31,0.29882812
10,0,0.2421875
10,1,0.22558594
10,2,0.25390625
10,3,0.14648438
10,4,0.10205078
10,5,0.091796875
10,6,0.111816406
10,7,0.033691406
10,8,0.17285156
10,9,0.15527344
10,10,0.118652344
10,11,0.47460938
10,12,0.0625
10,13,0.13769531
10,14,0.08544922
10,15,0.08935547
10,16,0.140625
10,17,0.22558594
10,18,0.17480469
10,19,0.13671875
10,20,0.20898438
10,21,0.31445312
10,22,0.18847656
10,23,0.38671875
10,24,0.08886719
10,25,0.12597656
10,26,0.71875
10,27,0.703125
10,28,0.12109375
10,29,0.15625
10,30,0.12451172
10,31,0.10498047
11,0,0.10058594
11,1,0.038085938
11,2,0.09375
11,3,0.12792969
11,4,0.3203125
11,5,0.15820312
11,6,0.42578125
11,7,0.13574219
11,8,0.056640625
11,9,0.28125
11,10,0.053466797
11,11,0.103515625
11,12,0.35546875
11,13,0.15136719
11,14,0.16796875
11,15,0.20996094
11,16,0.17578125
11,17,0.036132812
11,18,0.07421875
11,19,0.39648438
11,20,0.6171875
11,21,0.640625
11,22,0.5625
11,23,0.3515625
11,24,0.07714844
11,25,0.13964844
11,26,0.068847656
11,27,0.123046875
11,28,0.21289062
11,29,0.52734375
11,30,0.72265625
11,31,0.24023438
12,0,0.05883789
12,1,0.106933594
12,2,0.11767578
12,3,0.26171875
12,4,0.036376953
12,5,0.0070495605
12,6,0.11376953
12,7,0.020996094
12,8,0.5546875
12,9,0.6484375
12,10,0.021484375
12,11,0.49804688
12,12,0.375
12,13,0.18261719
12,14,0.19335938
12,15,0.1875
12,16,0.40625
12,17,0.33203125
12,18,0.47070312
12,19,0.40234375
12,20,0.2890625
12,21,0.57421875
12,22,0.31054688
12,23,0.34179688
12,24,0.328125
12,25,0.47265625
12,26,0.23828125
12,27,0.3828125
12,28,0.46679688
12,29,0.19824219
12,30,0.08105469
12,31,0.05078125
13,0,0.111328125
13,1,0.33789062
13,2,0.21582031
13,3,0.1015625
13,4,0.15527344
13,5,0.47265625
13,6,0.072265625
13,7,0.35546875
13,8,0.14257812
13,9,0.12792969
13,10,0.10253906
13,11,0.15625
13,12,0.22949219
13,13,0.114746094
13,14,0.17285156
13,15,0.11621094
13,16,0.21191406
13,17,0.30859375
13,18,0.18066406
13,19,0.2421875
13,20,0.29101562
13,21,0.14257812
13,22,0.29882812
13,23,0.21582031
13,24,0.30273438
13,25,0.30664062
13,26,0.27929688
13,27,0.33984375
13,28,0.18164062
13,29,0.041503906
13,30,0.044189453
13,31,0.07714844
14,0,0.15820312
14,1,0.12988281
14,2,0.27929688
14,3,0.47851562
14,4,0.27148438
14,5,0.13476562
14,6,0.08496094
14,7,0.15332031
