,pct_on_object,concentration_ratio,avg_ratio,grad_pct_on_object,grad_concentration_ratio,grad_avg_ratio
count,20.0,20.0,20.0,20.0,20.0,20.0
mean,26.704595828056334,1.1412769943475722,1.214070437848568,34.510757595300674,1.3911925375461578,1.6270126029849052
std,23.75173793944319,0.835928315525845,0.9322592487835174,23.702615210281426,0.5849827117016196,0.7632254830253261
min,2.030170440673828,0.5120689272880554,0.3946063220500946,1.01933753490448,0.5219008326530457,0.32840511202812195
25%,12.754525184631348,0.8176316022872925,0.7114194333553314,17.732577323913574,1.0557095110416412,1.0938919186592102
50%,21.287808418273926,0.9320516586303711,0.9239156246185303,29.759604454040527,1.3891364932060242,1.7420090436935425
75%,30.559030532836914,1.107433170080185,1.2215359508991241,49.25322341918945,1.7689184546470642,2.005115807056427
max,89.45938110351562,4.40119743347168,4.522302627563477,87.82324981689453,3.0407750606536865,3.5196266174316406
