,pct_on_object,concentration_ratio,avg_ratio,grad_pct_on_object,grad_concentration_ratio,grad_avg_ratio
count,20.0,20.0,20.0,20.0,20.0,20.0
mean,46.00359737128019,2.6927853025496007,4.586348827928305,34.510757595300674,1.3911925375461578,1.6270126029849052
std,27.92737301530089,2.649557178691611,3.7570707621973356,23.702615210281426,0.5849827117016196,0.7632254830253261
min,0.3832648694515228,0.19623161852359772,0.1773504614830017,1.01933753490448,0.5219008326530457,0.32840511202812195
25%,26.077643394470215,1.0633323788642883,1.0905395448207855,17.732577323913574,1.0557095110416412,1.0938919186592102
50%,48.67837905883789,1.8494436740875244,4.4112279415130615,29.759604454040527,1.3891364932060242,1.7420090436935425
75%,69.46166610717773,3.6051639318466187,7.847112417221069,49.25322341918945,1.7689184546470642,2.005115807056427
max,95.81218719482422,11.25,12.237682342529297,87.82324981689453,3.0407750606536865,3.5196266174316406
