pct_on_object,concentration_ratio,avg_ratio,pct_area,num_object_patches,num_total_patches,image,grad_pct_on_object,grad_concentration_ratio,grad_avg_ratio,grad_pct_area,grad_num_object_patches,grad_num_total_patches
61.652183532714844,3.5870361328125,7.746232986450195,17.1875,44.0,256,fruit,27.043432235717773,1.5734360218048096,1.7859963178634644,17.1875,44.0,256
69.34864044189453,1.9947474002838135,4.24535608291626,34.765625,89.0,256,liberty,53.7895622253418,1.5472053289413452,2.184159517288208,34.765625,89.0,256
4.122161865234375,0.2198486328125,0.18630683422088623,18.75,48.0,256,lennon,13.915775299072266,0.7421746850013733,0.7004963755607605,18.75,48.0,256
23.944787979125977,3.8311660289764404,4.7225117683410645,6.25,16.0,256,mask,11.732036590576172,1.877125859260559,1.9937081336975098,6.25,16.0,256
8.7890625,11.25,12.237682342529297,0.78125,2.0,256,macbook,1.3797075748443604,1.7660256624221802,1.7767424583435059,0.78125,2.0,256
30.064058303833008,1.0839998722076416,1.1201092004776,27.734375,71.0,256,fire,23.61541748046875,0.8514854907989502,0.8055699467658997,27.734375,71.0,256
26.78859519958496,6.234436511993408,8.149750709533691,4.296875,11.0,256,liberty2,7.651012420654297,1.7805992364883423,1.8452709913253784,4.296875,11.0,256
18.568239212036133,0.33010202646255493,0.1773504614830017,56.25,144.0,256,sand,29.68813705444336,0.5277891159057617,0.32840511202812195,56.25,144.0,256
95.81218719482422,1.1849236488342285,5.415746688842773,80.859375,207.0,256,penguin,87.82324981689453,1.0861232280731201,1.707275629043579,80.859375,207.0,256
27.380115509033203,1.0013298988342285,1.0018305778503418,27.34375,70.0,256,child_newspaper,29.831071853637695,1.090964913368225,1.1296372413635254,27.34375,70.0,256
54.44206619262695,2.6296544075012207,4.577099800109863,20.703125,53.0,256,pizza,27.047136306762695,1.3064277172088623,1.4200352430343628,20.703125,53.0,256
69.80074310302734,3.3715076446533203,8.852858543395996,20.703125,53.0,256,zebra,41.1328125,1.9867924451828003,2.6763031482696533,20.703125,53.0,256
36.18861770629883,5.7901787757873535,8.5067720413208,6.25,16.0,256,iena,19.004844665527344,3.0407750606536865,3.5196266174316406,6.25,16.0,256
71.47553253173828,3.6595473289489746,10.323724746704102,19.53125,50.0,256,boat,34.71868896484375,1.7775968313217163,2.191147804260254,19.53125,50.0,256
46.83287048339844,0.9366574287414551,0.8808608651161194,50.0,128.0,256,lighthouse,49.66415786743164,0.9932831525802612,0.9866559505462646,50.0,128.0,256
84.79747009277344,1.1546889543533325,2.017519950866699,73.4375,188.0,256,childfire,79.05680847167969,1.0765182971954346,1.3653604984283447,73.4375,188.0,256
50.523887634277344,1.3334139585494995,1.6738876104354858,37.890625,97.0,256,train,49.11624526977539,1.2962638139724731,1.582236409187317,37.890625,97.0,256
62.573890686035156,1.7041399478912354,2.8814094066619873,36.71875,94.0,256,hat,54.04431915283203,1.471845269203186,2.0267395973205566,36.71875,94.0,256
76.58357238769531,2.362095832824707,6.816826820373535,32.421875,83.0,256,pirate,48.94139862060547,1.509517788887024,1.9979078769683838,32.421875,83.0,256
0.3832648694515228,0.19623161852359772,0.19313912093639374,1.953125,5.0,256,zuck,1.01933753490448,0.5219008326530457,0.5169771909713745,1.953125,5.0,256
