AblationType,Gamma,Lambda,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text,k_heads
last-row-paired,-3.0,3.0,129.62411903907196,19.58468352415366,2.9683648496866226,92.08484411239624,81.55339805825243,0.2403846153846154,412,416,10.819444444444445,10.060185185185185,[200],1
last-row-paired,-2.5,2.5,130.4039549715235,19.76045295581571,2.9577572271227837,92.71134662628174,81.15942028985508,0.2403846153846154,414,416,10.76388888888889,10.05324074074074,[],1
last-row-paired,-2.0,2.0,131.5280484384566,19.72979800059693,2.952559471130371,93.23289680480957,81.40096618357488,0.2403846153846154,414,416,10.793981481481481,10.025462962962964,[],1
last-row-paired,-1.0,1.0,133.0043738407694,19.789005701895803,2.91568061709404,94.33653926849365,81.88405797101449,0.2403846153846154,414,416,10.796296296296296,9.965277777777779,[],1
last-row-paired,-0.5,0.5,133.54673758534773,19.79908843128942,2.9186108261346817,94.81158447265625,81.77458033573141,0.0,417,416,10.82638888888889,9.972222222222221,[],1
last-row-paired,0.0,-0.0,133.7392504101299,19.61443948862143,2.9054782167077065,95.53512287139893,81.77458033573141,0.0,417,416,10.886574074074074,9.988425925925926,[],1
last-row-paired,0.5,-0.5,133.63622152134485,19.59658358915476,2.9297525733709335,95.93452215194702,81.73076923076923,0.0,416,416,10.983796296296296,9.92361111111111,[],1
last-row-paired,1.0,-1.0,133.55522690822545,19.458552972355392,2.9389256350696087,96.20450901985168,81.64251207729468,0.0,414,415,11.050925925925926,9.988425925925926,[],1
last-row-paired,1.5,-1.5,133.31779249833198,19.33333008142654,2.9115804359316826,96.50514101982117,81.84019370460048,0.0,413,414,11.090277777777779,10.006944444444445,[],1
last-row-paired,2.0,-2.0,133.20096183399437,19.351008668309078,2.8920869156718254,96.62526798248291,81.84019370460048,0.0,413,415,11.164351851851851,9.988425925925926,[],1
last-row-paired,2.5,-2.5,132.86275346408365,19.137710538110696,2.881141535937786,96.88249564170837,81.79611650485437,0.0,412,415,11.268518518518519,10.037037037037036,[],1
last-row-paired,3.0,-3.0,132.64950327778934,19.086874254164286,2.896083153784275,96.82920789718628,81.79611650485437,0.0,412,414,11.270833333333334,10.039351851851851,[],1
