AblationType,Gamma,Lambda,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text,k_heads
last-row-paired,-3.0,3.0,60.38525483745616,20.381974790245295,2.825807586312294,81.18574953079224,69.29577464788733,0.9638554216867471,355,415,26.608796296296298,11.025462962962964,"[404, 405, 416]",5
last-row-paired,-2.5,2.5,74.01043306087377,20.87877170741558,2.8438616693019867,83.75507402420044,72.72727272727273,0.7228915662650602,374,415,21.34490740740741,10.747685185185185,"[404, 405, 416]",5
last-row-paired,-2.0,2.0,93.62000013134093,20.635926151880994,2.8735182359814644,85.86294651031494,75.25773195876289,0.7228915662650602,388,415,17.15509259259259,10.543981481481481,"[404, 405, 416]",5
last-row-paired,-1.0,1.0,127.3986689215235,20.44082547770813,2.911132887005806,90.67989921569824,80.88235294117648,0.4807692307692308,408,416,11.74074074074074,10.23611111111111,"[404, 405]",5
last-row-paired,-0.5,0.5,132.10246123050456,20.163593612232944,2.9128205478191376,93.02829694747925,81.79611650485437,0.2403846153846154,412,416,11.219907407407407,10.099537037037036,[405],5
last-row-paired,0.0,-0.0,133.7392504101299,19.61443948862143,2.9054782167077065,95.53512287139893,81.77458033573141,0.0,417,416,10.886574074074074,9.988425925925926,[],5
last-row-paired,0.5,-0.5,134.87683450877375,19.377917588921264,2.9443040043115616,97.91205143928528,82.45192307692307,0.2398081534772182,416,417,10.662037037037036,9.88425925925926,[1],5
last-row-paired,1.0,-1.0,135.39401097268274,18.998488859506324,2.9686233401298523,99.76993143558502,82.49400479616307,0.4807692307692308,417,416,10.54861111111111,9.881944444444445,[1],5
last-row-paired,1.5,-1.5,135.92385536321672,18.67871814436512,3.0409176386892796,101.89240896701813,82.65060240963855,0.48192771084337355,415,415,10.55324074074074,9.898148148148149,"[1, 200]",5
last-row-paired,2.0,-2.0,136.7323405707284,18.3092048727558,3.0507564917206764,103.62972384691238,82.73381294964028,0.4830917874396135,417,414,10.537037037037036,9.912037037037036,"[1, 200]",5
last-row-paired,2.5,-2.5,137.47992466995493,18.19932904106099,3.1125185787677765,105.58231836557388,82.9736211031175,0.48426150121065376,417,413,10.56712962962963,9.94675925925926,"[1, 200]",5
last-row-paired,3.0,-3.0,138.06980970920995,17.969505439104978,3.1650009527802467,106.69702982902527,83.45323741007195,0.966183574879227,417,414,10.578703703703704,10.05787037037037,"[1, 191, 200]",5
