AblationType,Gamma,Lambda,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text,k_heads
last-row-paired,-3.0,3.0,2.88759383559227,7.10712856054306,3.2669662535190582,59.108973026275635,16.51376146788991,4.668304668304668,109,407,81.10185185185185,14.45138888888889,"[4, 37, 118, 126, 159, 170, 181, 188, 200, 212, 257, 262, 280, 288, 310, 332, 375, 416, 417]",30
last-row-paired,-2.5,2.5,3.6167890429496765,8.92879593372345,3.2162818014621735,64.58535718917847,15.789473684210526,4.422604422604422,133,407,77.08796296296296,13.37037037037037,"[4, 37, 118, 126, 159, 170, 181, 188, 200, 212, 257, 262, 280, 288, 332, 375, 416, 417]",30
last-row-paired,-2.0,2.0,5.965658009052277,12.602938503026962,3.1891638785600662,70.24937653541565,15.384615384615385,2.9484029484029484,169,407,70.36805555555556,12.42824074074074,"[37, 118, 126, 170, 200, 257, 262, 280, 288, 375, 416]",30
last-row-paired,-1.0,1.0,64.94030768511584,23.091364829801023,3.023694135248661,82.44074368476868,68.63753213367609,1.6990291262135921,389,412,20.90277777777778,11.127314814814815,"[118, 262, 288, 375, 405, 416]",30
last-row-paired,-0.5,0.5,126.08847959336708,20.880826130945934,2.965822011232376,88.76629877090454,81.06796116504854,1.4457831325301205,412,415,11.340277777777779,10.386574074074074,"[118, 375, 405, 416]",30
last-row-paired,0.0,-0.0,133.7392504101299,19.61443948862143,2.9054782167077065,95.53512287139893,81.77458033573141,0.0,417,416,10.886574074074074,9.988425925925926,[],30
last-row-paired,0.5,-0.5,136.10630735798622,18.426334033778403,2.89045019261539,102.04278898239136,83.41346153846155,0.23923444976076555,416,418,10.80324074074074,9.930555555555555,[1],30
last-row-paired,1.0,-1.0,138.91528864643624,17.260729695350165,2.8392274528741837,106.27989108860493,84.57831325301206,1.4354066985645932,415,418,11.07638888888889,10.527777777777779,"[1, 40, 129, 150, 409]",30
last-row-paired,1.5,-1.5,141.99736393796775,16.734645561577054,3.601512969005853,96.09955719299614,84.14634146341463,3.1630170316301705,410,411,11.180555555555555,13.770833333333334,"[40, 67, 76, 100, 129, 150, 178, 244, 319, 336, 348, 362]",30
last-row-paired,2.0,-2.0,147.70033748596325,14.917841315938858,4.179134395459474,71.16699580173403,84.76658476658476,3.6175710594315245,407,387,11.166666666666666,19.65740740740741,"[40, 67, 76, 100, 129, 150, 169, 178, 244, 304, 336, 362, 413, 422]",30
last-row-paired,2.5,-2.5,154.59278002176143,13.781123566790484,4.7884063915435,42.774464661043545,85.01228501228502,5.785123966942149,407,363,11.277777777777779,26.97222222222222,"[6, 40, 67, 69, 76, 100, 129, 141, 150, 169, 176, 178, 179, 192, 244, 304, 322, 336, 362, 413, 422]",30
last-row-paired,3.0,-3.0,157.09166574424967,12.76479890149949,4.657463975754589,29.01301183062974,85.01228501228502,8.13953488372093,407,344,11.768518518518519,34.467592592592595,"[6, 40, 60, 62, 67, 69, 76, 100, 129, 141, 150, 161, 169, 176, 178, 179, 192, 244, 304, 322, 336, 362, 387, 395, 399, 413, 422]",30
