AblationType,Gamma,Lambda,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text,k_heads
last-row-paired,-3.0,3.0,6.487934112548828,34.60584545135498,6.5356831550598145,76.00667381286621,13.609467455621301,3.7209302325581395,338,430,35.908256880733944,6.75,"[1, 3, 40, 47, 100, 124, 194, 204, 229, 256, 263, 272, 353, 357, 387, 420]",40
last-row-paired,-2.5,2.5,9.385960131883621,46.244385719299316,6.869960784912109,81.22440433502197,16.353887399463808,2.784222737819025,373,431,27.020642201834864,6.155963302752293,"[1, 40, 47, 100, 124, 204, 229, 256, 263, 353, 357, 420]",40
last-row-paired,-2.0,2.0,15.98747032880783,55.451037883758545,7.065658807754517,85.96130561828613,24.747474747474747,2.320185614849188,396,431,19.245412844036696,5.68348623853211,"[1, 47, 100, 124, 204, 229, 256, 263, 353, 420]",40
last-row-paired,-1.0,1.0,75.7582414150238,46.69794154167175,7.2099833488464355,94.0690689086914,59.49074074074075,1.6241299303944314,432,431,5.435779816513762,5.080275229357798,"[1, 124, 204, 229, 256, 263, 353]",40
last-row-paired,-0.5,0.5,108.57684135437012,38.22759062051773,7.170921325683594,97.24240303039551,73.44110854503464,1.1574074074074074,433,432,3.727064220183486,4.986238532110092,"[204, 229, 256, 263]",40
last-row-paired,0.0,-0.0,123.36236000061035,33.05144399404526,7.099663019180298,99.89018821716309,77.18894009216591,0.4629629629629629,434,432,3.2224770642201834,4.8692660550458715,[],40
last-row-paired,0.5,-0.5,130.15244007110596,29.31092117726803,6.994258403778076,102.09373903274536,79.90762124711316,0.6960556844547563,433,431,3.1674311926605503,4.889908256880734,"[130, 253, 411]",40
last-row-paired,1.0,-1.0,133.51352679729462,26.14196404442191,6.924333810806274,103.44821166992188,81.75519630484989,0.6960556844547563,433,431,3.261467889908257,5.027522935779817,"[130, 253, 411]",40
last-row-paired,1.5,-1.5,136.36772549152374,23.348381467163563,6.945575475692749,103.88365173339844,84.06466512702079,1.6241299303944314,433,431,3.3256880733944953,5.247706422018348,"[50, 130, 159, 253, 411]",40
last-row-paired,2.0,-2.0,138.91269105672836,20.605692841112614,7.4397183656692505,102.93488264083862,84.7926267281106,2.088167053364269,434,431,3.522935779816514,5.628440366972477,"[50, 70, 130, 159, 253, 256, 411, 416]",40
last-row-paired,2.5,-2.5,141.71234488487244,18.353660985827446,8.215571761131287,101.14601707458496,85.41666666666666,3.0303030303030303,432,429,3.86697247706422,6.1077981651376145,"[6, 10, 50, 70, 80, 130, 159, 253, 256, 411, 416]",40
last-row-paired,3.0,-3.0,145.33410999178886,16.364361345767975,8.3841392993927,98.36830234527588,85.11627906976744,3.51288056206089,430,427,4.277522935779817,6.963302752293578,"[6, 50, 63, 65, 70, 80, 130, 159, 231, 253, 256, 304, 365, 411, 416]",40
