model,model_slug,method,pixels_removed_pct,factual_accuracy_pct
Gemma3,gemma3,Through Gradients,7.000000000000001,19.565217391304344
Gemma3,gemma3,Through Gradients,10.0,20.0
Gemma3,gemma3,Through Gradients,20.0,21.73913043478261
Gemma3,gemma3,Through Gradients,30.0,22.81553398058253
Gemma3,gemma3,Through Gradients,40.0,24.514563106796118
Gemma3,gemma3,Through Gradients,50.0,24.878048780487802
Gemma3,gemma3,Through Gradients,60.0,29.06403940886699
Gemma3,gemma3,Through Gradients,70.0,32.506203473945405
Gemma3,gemma3,Through Gradients,80.0,38.69346733668342
Gemma3,gemma3,Through Gradients,90.0,51.51515151515152
Gemma3,gemma3,Through Gradients,100.0,93.93203883495146
