model,model_slug,layer,head,factual_accuracy_pct,factual_preference_pct_points,head_group
LLaVA-NeXT,llava-next,2,15,50.917431712150574,0.91743171215057,Other
LLaVA-NeXT,llava-next,2,16,51.83486342430113,1.83486342430114,Other
LLaVA-NeXT,llava-next,2,17,53.66972386837004,3.66972386837005,Other
LLaVA-NeXT,llava-next,2,18,49.311923980712905,-0.6880760192871,Other
LLaVA-NeXT,llava-next,2,19,49.311923980712905,-0.6880760192871,Other
LLaVA-NeXT,llava-next,2,20,48.39449524879456,-1.6055047512054401,Other
LLaVA-NeXT,llava-next,2,21,48.16513657569886,-1.83486342430114,Other
LLaVA-NeXT,llava-next,2,22,48.16513657569886,-1.83486342430114,Other
LLaVA-NeXT,llava-next,2,23,50.0,-0.0,Other
LLaVA-NeXT,llava-next,2,24,48.62385392189026,-1.37614607810974,Other
LLaVA-NeXT,llava-next,2,25,55.504587292671204,5.5045872926712,Other
LLaVA-NeXT,llava-next,2,26,52.06421911716461,2.06421911716461,Other
LLaVA-NeXT,llava-next,2,27,53.66972386837004,3.66972386837005,Other
LLaVA-NeXT,llava-next,2,28,53.44036817550659,3.4403681755065896,Other
LLaVA-NeXT,llava-next,2,29,46.33027315139771,-3.66972684860229,Other
LLaVA-NeXT,llava-next,2,30,52.522936463356004,2.52293646335601,Other
LLaVA-NeXT,llava-next,2,31,51.14679038524626,1.14679038524627,Other
LLaVA-NeXT,llava-next,3,0,50.2293586730957,0.22935867309570002,Other
LLaVA-NeXT,llava-next,3,1,50.917431712150574,0.91743171215057,Other
LLaVA-NeXT,llava-next,3,2,47.70641922950745,-2.2935807704925497,Other
LLaVA-NeXT,llava-next,3,3,50.45871436595915,0.45871436595916004,Other
LLaVA-NeXT,llava-next,3,4,49.08257126808167,-0.91742873191833,Other
LLaVA-NeXT,llava-next,3,5,49.770641326904304,-0.22935867309570002,Other
LLaVA-NeXT,llava-next,3,6,50.917431712150574,0.91743171215057,Other
LLaVA-NeXT,llava-next,3,7,46.100914478302016,-3.8990855216979896,Other
LLaVA-NeXT,llava-next,3,8,58.71559679508209,8.715596795082089,Other
LLaVA-NeXT,llava-next,3,9,52.06421911716461,2.06421911716461,Other
LLaVA-NeXT,llava-next,3,10,49.08257126808167,-0.91742873191833,Other
LLaVA-NeXT,llava-next,3,11,53.211009502410874,3.2110095024108802,Other
LLaVA-NeXT,llava-next,3,12,53.211009502410874,3.2110095024108802,Other
LLaVA-NeXT,llava-next,3,13,52.06421911716461,2.06421911716461,Other
LLaVA-NeXT,llava-next,3,14,50.68807303905487,0.68807303905487,Other
LLaVA-NeXT,llava-next,3,15,52.522936463356004,2.52293646335601,Other
LLaVA-NeXT,llava-next,3,16,46.33027315139771,-3.66972684860229,Other
LLaVA-NeXT,llava-next,3,17,51.14679038524626,1.14679038524627,Other
LLaVA-NeXT,llava-next,3,18,59.86238420009613,9.86238420009613,Factual
LLaVA-NeXT,llava-next,3,19,49.770641326904304,-0.22935867309570002,Other
LLaVA-NeXT,llava-next,3,20,54.35779690742491,4.35779690742492,Other
LLaVA-NeXT,llava-next,3,21,53.211009502410874,3.2110095024108802,Other
LLaVA-NeXT,llava-next,3,22,53.211009502410874,3.2110095024108802,Other
LLaVA-NeXT,llava-next,3,23,50.0,-0.0,Other
LLaVA-NeXT,llava-next,3,24,53.899082541465745,3.8990825414657504,Other
LLaVA-NeXT,llava-next,3,25,51.14679038524626,1.14679038524627,Other
LLaVA-NeXT,llava-next,3,26,49.770641326904304,-0.22935867309570002,Other
LLaVA-NeXT,llava-next,3,27,50.45871436595915,0.45871436595916004,Other
LLaVA-NeXT,llava-next,3,28,53.211009502410874,3.2110095024108802,Other
LLaVA-NeXT,llava-next,3,29,50.917431712150574,0.91743171215057,Other
LLaVA-NeXT,llava-next,3,30,50.68807303905487,0.68807303905487,Other
LLaVA-NeXT,llava-next,3,31,51.605504751205444,1.6055047512054401,Other
LLaVA-NeXT,llava-next,4,0,46.100914478302016,-3.8990855216979896,Other
LLaVA-NeXT,llava-next,4,1,55.504587292671204,5.5045872926712,Other
LLaVA-NeXT,llava-next,4,2,53.44036817550659,3.4403681755065896,Other
LLaVA-NeXT,llava-next,4,3,53.211009502410874,3.2110095024108802,Other
LLaVA-NeXT,llava-next,4,4,52.981650829315186,2.98165082931518,Other
LLaVA-NeXT,llava-next,4,5,49.5412826538086,-0.45871734619140003,Other
LLaVA-NeXT,llava-next,4,6,53.44036817550659,3.4403681755065896,Other
LLaVA-NeXT,llava-next,4,7,44.03669834136963,-5.963301658630369,Other
LLaVA-NeXT,llava-next,4,8,49.770641326904304,-0.22935867309570002,Other
LLaVA-NeXT,llava-next,4,9,47.24770784378052,-2.75229215621948,Other
LLaVA-NeXT,llava-next,4,10,54.81651425361633,4.81651425361633,Other
LLaVA-NeXT,llava-next,4,11,51.14679038524626,1.14679038524627,Other
LLaVA-NeXT,llava-next,4,12,50.917431712150574,0.91743171215057,Other
LLaVA-NeXT,llava-next,4,13,51.83486342430113,1.83486342430114,Other
LLaVA-NeXT,llava-next,4,14,48.62385392189026,-1.37614607810974,Other
LLaVA-NeXT,llava-next,4,15,45.18348574638367,-4.81651425361633,Other
LLaVA-NeXT,llava-next,4,16,48.62385392189026,-1.37614607810974,Other
LLaVA-NeXT,llava-next,4,17,49.311923980712905,-0.6880760192871,Other
