ExperimentDesc,% top pixel,threshold,LogitDiff,avg_num_pixel,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text
baseline,-,,,,123.23338866233826,32.8378082215786,7.045966148376465,99.70937156677246,77.18894009216591,0.4629629629629629,434,432,3.2224770642201834,5.0619266055045875,[]
resid_ablation,N/A,0.01,67.4305269420147,28.587155963302752,108.7381420135498,41.30761507153511,0.0,0.0,70.50691244239631,0.0,434,0,3.830275229357798,-1.0,
resid_ablation_control,N/A,0.01,89.85214164853096,28.587155963302752,123.24579691886902,33.39365527033806,0.0,0.0,76.95852534562212,0.0,434,0,3.158256880733945,-1.0,
resid_ablation_grad,N/A,0.01,84.7966778576374,28.587155963302752,120.26199221611023,35.465314358472824,0.0,0.0,75.34562211981567,0.0,434,0,3.488532110091743,-1.0,
resid_ablation_intgrad,N/A,0.01,77.66600428521633,28.587155963302752,116.014981508255,38.34897722303867,0.0,0.0,73.27188940092167,0.0,434,0,3.5779816513761467,-1.0,
resid_ablation,N/A,0.02,47.29322926700115,57.178899082568805,94.75305461883545,47.4598253518343,0.0,0.0,67.2055427251732,0.0,433,0,4.1192660550458715,-1.0,
resid_ablation_control,N/A,0.02,89.55787371098995,57.178899082568805,123.60368227958679,34.04580856859684,0.0,0.0,76.95852534562212,0.0,434,0,3.1720183486238533,-1.0,
resid_ablation_grad,N/A,0.02,80.13077861070633,57.178899082568805,117.19549798965454,37.06471937894821,0.0,0.0,73.67205542725173,0.0,433,0,3.580275229357798,-1.0,
resid_ablation_intgrad,N/A,0.02,70.0638095587492,57.178899082568805,111.23509526252747,41.17128570377827,0.0,0.0,71.19815668202764,0.0,434,0,3.738532110091743,-1.0,
resid_ablation,N/A,0.03,30.681013256311417,85.81192660550458,83.1951334476471,52.51412019133568,0.0,0.0,62.355658198614314,0.0,433,0,4.518348623853211,-1.0,
resid_ablation_control,N/A,0.03,89.26255410909653,85.81192660550458,123.6740369796753,34.411482870578766,0.0,0.0,76.72811059907833,0.0,434,0,3.1513761467889907,-1.0,
resid_ablation_grad,N/A,0.03,74.99667304754257,85.81192660550458,113.8562935590744,38.85962051153183,0.0,0.0,71.59353348729792,0.0,433,0,3.6192660550458715,-1.0,
resid_ablation_intgrad,N/A,0.03,63.58029840886593,85.81192660550458,106.89484965801239,43.31455124914646,0.0,0.0,69.35483870967742,0.0,434,0,4.045871559633028,-1.0,
resid_ablation,N/A,0.05,5.055049151182175,143.9908256880734,65.3801680803299,60.32511892914772,0.0,0.0,52.66821345707656,0.0,431,0,5.286697247706422,-1.0,
resid_ablation_control,N/A,0.05,89.43036641180515,143.9908256880734,124.36429059505463,34.933924183249474,0.0,0.0,76.95852534562212,0.0,434,0,3.091743119266055,-1.0,
resid_ablation_grad,N/A,0.05,64.63188585639,143.9908256880734,107.07396197319031,42.44207611680031,0.0,0.0,69.21296296296296,0.0,432,0,3.768348623853211,-1.0,
resid_ablation_intgrad,N/A,0.05,51.984490126371384,143.9908256880734,99.42264473438263,47.438154608011246,0.0,0.0,66.74364896073904,0.0,433,0,4.169724770642202,-1.0,
resid_ablation,N/A,0.07,-12.423406660556793,201.21559633027522,53.01447254419327,65.43787920475006,0.0,0.0,46.74418604651163,0.0,430,0,5.795871559633028,-1.0,
resid_ablation_control,N/A,0.07,88.70681010186672,201.21559633027522,124.29973936080933,35.592929258942604,0.0,0.0,76.72811059907833,0.0,434,0,3.0160550458715596,-1.0,
