ExperimentDesc,% top pixel,threshold,LogitDiff,avg_num_pixel,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text
baseline,-,,,,123.36236000061035,33.05144399404526,7.099663019180298,99.89018821716309,77.18894009216591,0.4629629629629629,434,432,3.2224770642201834,4.8692660550458715,[]
resid_ablation,N/A,0.01,68.38513086736202,28.587155963302752,109.55683207511902,41.171701207756996,0.0,0.0,70.50691244239631,0.0,434,0,3.7981651376146788,-1.0,
resid_ablation_control,N/A,0.01,90.09959325194359,28.587155963302752,123.71408176422119,33.6144885122776,0.0,0.0,76.72811059907833,0.0,434,0,3.2408256880733943,-1.0,
resid_ablation_grad,N/A,0.01,84.73822198808193,28.587155963302752,120.36145752668381,35.623235538601875,0.0,0.0,75.11520737327189,0.0,434,0,3.477064220183486,-1.0,
resid_ablation,N/A,0.02,48.8843365162611,57.178899082568805,95.78189206123352,46.89755554497242,0.0,0.0,66.97459584295612,0.0,433,0,4.077981651376147,-1.0,
resid_ablation_control,N/A,0.02,89.61574640870094,57.178899082568805,123.87455487251282,34.258808463811874,0.0,0.0,77.18894009216591,0.0,434,0,3.2247706422018347,-1.0,
resid_ablation_grad,N/A,0.02,79.7873899191618,57.178899082568805,117.1628669500351,37.3754770308733,0.0,0.0,73.61111111111111,0.0,432,0,3.626146788990826,-1.0,
resid_ablation,N/A,0.03,32.15694484114647,85.81192660550458,84.41536319255829,52.25841835141182,0.0,0.0,61.89376443418014,0.0,433,0,4.5,-1.0,
resid_ablation_control,N/A,0.03,88.98916862905025,85.81192660550458,123.55995798110962,34.570789352059364,0.0,0.0,77.41935483870968,0.0,434,0,3.2018348623853212,-1.0,
resid_ablation_grad,N/A,0.03,74.73845987021923,85.81192660550458,113.82561242580414,39.08715255558491,0.0,0.0,71.36258660508084,0.0,433,0,3.63302752293578,-1.0,
resid_ablation,N/A,0.05,5.441592663526535,143.9908256880734,65.41898703575134,59.97739437222481,0.0,0.0,53.36426914153132,0.0,431,0,5.3807339449541285,-1.0,
resid_ablation_control,N/A,0.05,88.6671367585659,143.9908256880734,124.03623425960541,35.369097501039505,0.0,0.0,76.95852534562212,0.0,434,0,3.103211009174312,-1.0,
resid_ablation_grad,N/A,0.05,63.42188520729542,143.9908256880734,106.41595721244812,42.9940720051527,0.0,0.0,68.51851851851852,0.0,432,0,3.805045871559633,-1.0,
resid_ablation,N/A,0.07,-12.05379605293274,201.21559633027522,53.42874252796173,65.48253858089447,0.0,0.0,47.55244755244755,0.0,429,0,5.965596330275229,-1.0,
resid_ablation_control,N/A,0.07,88.82059748470783,201.21559633027522,124.52537417411804,35.70477668941021,0.0,0.0,77.18894009216591,0.0,434,0,3.0045871559633026,-1.0,
resid_ablation_grad,N/A,0.07,55.29132556915283,201.21559633027522,101.34041583538055,46.04909026622772,0.0,0.0,67.82407407407408,0.0,432,0,3.7545871559633026,-1.0,
resid_ablation,N/A,0.1,-30.230333864688873,287.9816513761468,41.462763607501984,71.69309747219086,0.0,0.0,40.42056074766355,0.0,428,0,6.7889908256880735,-1.0,
resid_ablation_control,N/A,0.1,87.88963407278061,287.9816513761468,124.25092387199402,36.36128979921341,0.0,0.0,76.49769585253456,0.0,434,0,3.0344036697247705,-1.0,
resid_ablation_grad,N/A,0.1,43.182778030633926,287.9816513761468,93.28925561904907,50.106477588415146,0.0,0.0,65.27777777777779,0.0,432,0,3.9908256880733943,-1.0,
