model,model_slug,layer,head,factual_accuracy_pct,factual_preference_pct_points,head_group
Gemma3,gemma3,0,0,51.851850748062134,1.85185074806213,Other
Gemma3,gemma3,0,1,49.30555820465088,-0.69444179534912,Other
Gemma3,gemma3,0,2,47.45370149612427,-2.54629850387573,Other
Gemma3,gemma3,0,3,43.05555820465088,-6.944441795349119,Other
Gemma3,gemma3,0,4,53.00925970077513,3.00925970077514,Other
Gemma3,gemma3,0,5,50.0,-0.0,Other
Gemma3,gemma3,0,6,49.0740716457367,-0.9259283542632999,Other
Gemma3,gemma3,0,7,50.694444775581346,0.69444477558135,Other
Gemma3,gemma3,0,8,48.611110448837294,-1.38888955116271,Other
Gemma3,gemma3,0,9,51.388889551162706,1.38888955116271,Other
Gemma3,gemma3,0,10,40.04629850387574,-9.95370149612426,Other
Gemma3,gemma3,0,11,46.759259700775154,-3.24074029922485,Other
Gemma3,gemma3,0,12,43.98148059844971,-6.01851940155029,Other
Gemma3,gemma3,0,13,47.45370149612427,-2.54629850387573,Other
Gemma3,gemma3,0,14,47.91666865348816,-2.08333134651184,Other
Gemma3,gemma3,0,15,49.30555820465088,-0.69444179534912,Other
Gemma3,gemma3,1,0,48.84259104728699,-1.15740895271301,Other
Gemma3,gemma3,1,1,50.0,-0.0,Other
Gemma3,gemma3,1,2,48.611110448837294,-1.38888955116271,Other
Gemma3,gemma3,1,3,49.7685194015503,-0.2314805984497,Other
Gemma3,gemma3,1,4,47.91666865348816,-2.08333134651184,Other
Gemma3,gemma3,1,5,49.30555820465088,-0.69444179534912,Other
Gemma3,gemma3,1,6,44.67592835426331,-5.32407164573669,Other
Gemma3,gemma3,1,7,47.222220897674575,-2.77777910232543,Other
Gemma3,gemma3,1,8,47.91666865348816,-2.08333134651184,Other
Gemma3,gemma3,1,9,47.91666865348816,-2.08333134651184,Other
Gemma3,gemma3,1,10,50.46296417713165,0.46296417713164995,Other
Gemma3,gemma3,1,11,50.0,-0.0,Other
Gemma3,gemma3,1,12,48.37962985038758,-1.62037014961242,Other
Gemma3,gemma3,1,13,50.0,-0.0,Other
Gemma3,gemma3,1,14,47.45370149612427,-2.54629850387573,Other
Gemma3,gemma3,1,15,48.14814925193787,-1.85185074806213,Other
Gemma3,gemma3,2,0,49.30555820465088,-0.69444179534912,Other
Gemma3,gemma3,2,1,50.23148059844969,0.2314805984497,Other
Gemma3,gemma3,2,2,48.611110448837294,-1.38888955116271,Other
Gemma3,gemma3,2,3,48.611110448837294,-1.38888955116271,Other
Gemma3,gemma3,2,4,51.851850748062134,1.85185074806213,Other
