AblationType,Gamma,Lambda,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text,k_heads
last-row-paired,-3.0,3.0,5.515813112258911,32.34554898738861,6.538254261016846,76.5273084640503,12.101910828025478,4.186046511627907,314,430,40.00917431192661,6.736238532110092,"[1, 3, 40, 47, 100, 124, 194, 204, 229, 256, 263, 272, 288, 353, 387, 420]",50
last-row-paired,-2.5,2.5,8.696803987026215,44.68452525138855,6.815160751342773,81.82384204864502,13.812154696132598,3.488372093023256,362,430,29.454128440366972,6.114678899082569,"[1, 3, 40, 47, 100, 124, 194, 204, 229, 256, 263, 272, 353, 387, 420]",50
last-row-paired,-2.0,2.0,14.635540902614594,55.461029052734375,7.007584095001221,86.58209371566772,21.93877551020408,2.784222737819025,392,431,20.025229357798164,5.651376146788991,"[1, 47, 100, 124, 194, 204, 229, 256, 263, 272, 353, 420]",50
last-row-paired,-1.0,1.0,72.91466641426086,47.924129247665405,7.213290214538574,94.44552421569824,58.23665893271461,1.6241299303944314,431,431,5.623853211009174,5.121559633027523,"[1, 124, 204, 229, 256, 263, 353]",50
last-row-paired,-0.5,0.5,108.239990234375,38.58644396066666,7.165868520736694,97.4401535987854,72.2863741339492,1.3888888888888888,433,432,3.7889908256880735,5.013761467889908,"[204, 229, 256, 263]",50
last-row-paired,0.0,-0.0,123.36236000061035,33.05144399404526,7.099663019180298,99.89018821716309,77.18894009216591,0.4629629629629629,434,432,3.2224770642201834,4.8692660550458715,[],50
last-row-paired,0.5,-0.5,129.80748891830444,29.106793105602264,7.007315516471863,101.80497598648071,79.67667436489607,0.9259259259259258,433,432,3.153669724770642,4.9036697247706424,"[130, 253, 411]",50
last-row-paired,1.0,-1.0,132.7541093826294,25.741729363799095,6.942569255828857,102.66533899307251,81.5242494226328,1.160092807424594,433,431,3.2408256880733943,5.064220183486238,"[50, 130, 223, 253, 411]",50
last-row-paired,1.5,-1.5,135.06255102157593,22.420340836048126,7.032533526420593,102.56459045410156,84.98845265588915,1.3921113689095126,433,431,3.403669724770642,5.431192660550459,"[10, 50, 130, 223, 253, 411]",50
last-row-paired,2.0,-2.0,136.5317007303238,19.756890207529068,7.950927138328552,100.15681600570679,84.75750577367207,2.320185614849188,433,431,3.584862385321101,5.795871559633028,"[6, 10, 50, 130, 223, 253, 256, 304, 411, 416]",50
last-row-paired,2.5,-2.5,138.52225452661514,17.59849300980568,8.271971225738525,96.99048662185669,86.5429234338747,3.0232558139534884,431,430,3.981651376146789,6.419724770642202,"[6, 10, 50, 63, 80, 130, 170, 231, 253, 256, 304, 411, 416]",50
last-row-paired,3.0,-3.0,141.85803321003914,16.07469440996647,8.452795624732971,93.23829174041748,85.54778554778555,3.9719626168224296,429,428,4.5,7.497706422018348,"[6, 10, 50, 63, 65, 80, 130, 166, 170, 231, 253, 256, 304, 314, 365, 411, 416]",50
